DISCIPLINE,8a1c12b8-007b-4edd-b141-d8b1ae3c3b9e,Mini-Rifle
CHAPTER,58be6713-9388-434a-ae99-9876200e076d,Course Design,1,The following general principles of course design list the criteria~ responsibilities and restrictions governing Course Designers as the architects of the sport of IPSC shooting. ,8a1c12b8-007b-4edd-b141-d8b1ae3c3b9e
RULE,3658cac8-242f-41b9-a7da-ac143b3c69b1,,1.3.3,The IPSC President~ his delegate~ or an officer of the Confederation (in that order)~ may withdraw IPSC sanctioning from a match if~ in his or their opinion~ a match or any component part thereof:,094582ad-f883-43da-a362-a0d495843d80,8a1c12b8-007b-4edd-b141-d8b1ae3c3b9e
RULE,f46c3c09-46fe-46f2-b40f-a128c1e03c6a,,1.3.4,IPSC match level requirements and recommendations are specified in Appendix A1.,094582ad-f883-43da-a362-a0d495843d80,8a1c12b8-007b-4edd-b141-d8b1ae3c3b9e
RULE,773c9992-1ad2-4052-acd8-42a8270105a5,Physical Construction,2.1.1,Safety considerations in the design~ physical construction~ and stated requirements for any course of fire are the responsibility of the host organization subject to the approval of the Range Master. Reasonable effort must be made to prevent injury to competitors~ officials and spectators during the match. Course design should prevent inadvertent unsafe actions wherever possible. Consideration must be given to the operation of any course of fire to provide suitable access for officials supervising the competitors.,46184129-98f7-43f1-839a-ab620d96a90f,8a1c12b8-007b-4edd-b141-d8b1ae3c3b9e
RULE,5c0b5c6e-ced6-41ee-9367-4f17c6e4bc42,Safe Angles of Fire,2.1.2,Courses of fire must always be constructed taking into account safe angles of fire. Consideration must be given to safe target and frame construction and the angle of any possible ricochets. Where appropriate the physical dimensions and suitability of backstops and side berms must be determined as part of the construction process. Unless otherwise specified~ the default maximum muzzle angle is 90 degrees in all directions~ measured from the front of the competitor facing directly center downrange. Violations are subject to Rule 10.5.2.,46184129-98f7-43f1-839a-ab620d96a90f,8a1c12b8-007b-4edd-b141-d8b1ae3c3b9e
RULE,95420c6d-cc26-46e4-ba95-f37db7bac83d,Minimum Distances,2.1.3,Whenever metal targets or metal hard cover are used in a course of fire~ precautions must be taken so that competitors and Match Officials maintain a minimum distance of 5 meters from them while they are being shot. Where possible~ this should be done with physical barriers. If Fault Lines are used to limit the approach to metal targets~ they must be placed at least 6 meters from the targets so that the competitor may inadvertently fault the line and still be outside the 5 meter minimum distance (see Rule 10.4.7). Care should also be taken in respect of metal props in the line of fire.,46184129-98f7-43f1-839a-ab620d96a90f,8a1c12b8-007b-4edd-b141-d8b1ae3c3b9e
RULE,4ebd58cf-0648-4645-bb17-1de6f8e52e62,Target Locations,2.1.4,When a course is constructed to include target locations other than immediately downrange~ organizers and officials must protect or restrict surrounding areas to which competitors~ officials or spectators have access. Each competitor must be permitted to solve the competitive problem in his own way and must not be hindered by being forced to act in any manner which might cause unsafe action. Targets must be arranged so that shooting at them as presented will not cause competitors to breach safe angles of fire.,46184129-98f7-43f1-839a-ab620d96a90f,8a1c12b8-007b-4edd-b141-d8b1ae3c3b9e
RULE,8d11dae2-65a6-4ff7-ba57-fc112431237d,Range Surface,2.1.5,Where possible~ the range surface must be prepared prior to the match~ and be kept moderately clear of debris during the match~ to provide reasonable safety for competitors and officials. Consideration should be given to the possibility of inclement weather and competitor actions. Match Officials may add gravel~ sand or other materials to a deteriorated range surface at any time~ and such range maintenance actions may not be appealed by competitors.,46184129-98f7-43f1-839a-ab620d96a90f,8a1c12b8-007b-4edd-b141-d8b1ae3c3b9e
RULE,3708e0dc-68ba-4102-923c-70fc9abc12de,Obstacles,2.1.6,Natural or created obstacles in a course of fire should reasonably allow for variations in competitors' height and physical build and should be constructed to provide reasonable safety for all competitors~ Match Officials and spectators.,46184129-98f7-43f1-839a-ab620d96a90f,8a1c12b8-007b-4edd-b141-d8b1ae3c3b9e
RULE,313550cc-e052-4fa6-a64d-f79649ab3bf5,Common Firing Lines,2.1.7,Courses of fire where multiple competitors are required to fire simultaneously from a common firing line (e.g. Shoot-Off)~ must provide a minimum of 3 meters of free space between each competitor.,46184129-98f7-43f1-839a-ab620d96a90f,8a1c12b8-007b-4edd-b141-d8b1ae3c3b9e
RULE,1b90007e-894e-482f-ab0b-d8f54fe1a8cf,Target Placement,2.1.8,Care must be taken with the physical placement of a paper target to prevent a "shoot through".,46184129-98f7-43f1-839a-ab620d96a90f,8a1c12b8-007b-4edd-b141-d8b1ae3c3b9e
RULE,e618cab9-3754-463a-8e15-67211d438d86,Berms,2.1.9,All berms are "off limits" to all persons at all times~ except when access to them is specifically permitted by a Range Officer (see Section 10.6).,46184129-98f7-43f1-839a-ab620d96a90f,8a1c12b8-007b-4edd-b141-d8b1ae3c3b9e
RULE,8b9c7303-d8fb-4071-8bad-9cebb827d97d,Fault Lines,2.2.1,Competitor movement should preferably be restricted through the use of physical barriers. However~ the use of Fault Lines is permitted as follows:,13373521-8bca-4bc2-a839-0737029ae1e0,8a1c12b8-007b-4edd-b141-d8b1ae3c3b9e
RULE,c6efd458-3ae4-4e18-afb4-6f015ac1255d,,2.2.2,Not applicable.,13373521-8bca-4bc2-a839-0737029ae1e0,8a1c12b8-007b-4edd-b141-d8b1ae3c3b9e
